code_postal;nb_annonces;loyer_moyen;loyer_m2_moyen
1000.0;1;420.0;38.18
1480.0;5;823.2;13.97
1570.0;1;480.0;13.71
1750.0;6;691.67;9.21
2110.0;1;650.0;14.44
2500.0;5;542.0;9.66
6000.0;16;1117.06;33.65
6100.0;4;793.75;36.73
6150.0;4;980.0;26.01
6160.0;14;994.29;23.84
6200.0;14;962.29;26.55
6300.0;9;1105.44;29.21
6400.0;23;1508.65;36.94
6600.0;12;1238.75;25.68
7400.0;6;693.0;11.1
10000.0;581;563.15;15.65
10100.0;10;551.2;10.17
10120.0;24;608.75;14.88
10190.0;1;690.0;7.84
10300.0;19;610.37;13.17
10700.0;1;780.0;5.42
11000.0;163;584.44;12.58
11100.0;279;597.5;14.25
11130.0;5;1037.0;9.26
11170.0;2;683.0;7.0
11200.0;6;549.83;10.37
11250.0;5;490.0;10.0
11260.0;1;750.0;8.33
11290.0;1;650.0;10.32
11300.0;8;575.0;7.92
11400.0;24;569.5;11.1
11570.0;1;430.0;17.2
11600.0;4;462.5;5.53
11610.0;2;600.0;8.45
12000.0;192;557.15;13.24
12100.0;48;555.54;11.48
12200.0;34;621.71;11.73
12400.0;8;489.62;8.37
12450.0;1;500.0;9.09
12850.0;32;466.91;12.39
13001.0;225;889.05;23.15
13002.0;145;906.42;21.61
13003.0;164;713.16;18.71
13004.0;180;818.71;20.71
13005.0;262;766.63;22.76
13006.0;244;1000.71;23.13
13007.0;155;1445.64;25.46
13008.0;360;1601.21;24.37
13009.0;251;990.09;21.2
13010.0;207;810.23;20.46
13011.0;57;1113.82;18.68
13012.0;127;1158.47;20.51
13013.0;127;889.62;19.13
13014.0;59;806.69;19.22
13015.0;36;710.31;18.34
13016.0;27;924.7;19.99
13080.0;52;1167.81;25.36
13090.0;117;992.44;25.52
13100.0;340;1028.25;25.57
13103.0;3;1008.33;13.34
13104.0;11;803.64;18.76
13109.0;3;852.67;12.25
13110.0;31;690.77;16.11
13111.0;1;904.0;15.86
13117.0;3;721.0;17.0
13120.0;20;722.0;20.39
13122.0;1;3700.0;24.67
13127.0;15;1120.13;19.84
13130.0;6;1118.33;16.15
13140.0;24;763.12;15.24
13150.0;11;689.18;11.26
13160.0;21;823.0;11.99
13170.0;9;961.78;20.44
13190.0;9;1025.0;18.24
13200.0;129;784.06;15.27
13210.0;18;1004.78;17.67
13220.0;3;866.67;16.79
13260.0;1;3200.0;43.24
13270.0;25;714.96;17.91
13280.0;4;1250.0;17.3
13290.0;5;1068.0;21.63
13300.0;63;736.97;16.98
13310.0;5;746.4;16.29
13320.0;15;1500.0;16.48
13390.0;12;1424.33;15.39
13400.0;48;1264.69;18.79
13410.0;14;725.21;16.88
13420.0;1;4000.0;22.22
13440.0;2;517.0;12.92
13480.0;1;2200.0;16.67
13500.0;21;793.29;17.59
13520.0;1;950.0;19.39
13530.0;5;980.0;17.75
13540.0;9;1691.67;26.92
13590.0;1;1042.0;20.43
13600.0;44;1277.91;24.22
13610.0;1;740.0;18.5
13620.0;2;1850.0;22.58
13660.0;3;793.33;15.41
13670.0;4;882.75;9.59
13700.0;19;807.32;18.12
13720.0;2;685.0;21.72
13750.0;1;920.0;11.5
13760.0;15;755.0;13.25
13790.0;5;1685.6;17.36
13800.0;50;866.12;16.22
13890.0;1;700.0;20.0
13960.0;1;1875.0;20.83
14000.0;562;668.17;20.08
14100.0;35;736.91;13.5
14112.0;3;1143.67;14.29
14120.0;5;784.2;15.06
14123.0;8;942.25;15.31
14150.0;7;717.14;19.08
14200.0;51;603.27;16.16
14360.0;9;804.22;23.08
14400.0;8;672.38;13.54
14500.0;6;441.17;12.58
14520.0;3;810.0;15.4
14600.0;25;693.52;16.19
14700.0;7;582.71;16.55
14730.0;1;1074.0;16.78
15000.0;84;501.13;11.81
15100.0;15;394.6;12.8
16000.0;286;592.58;14.59
16006.0;3;715.0;23.2
16100.0;103;707.2;12.58
16150.0;1;545.0;6.81
16400.0;16;425.31;16.32
17000.0;305;838.54;23.15
17100.0;43;646.47;12.77
17137.0;4;915.5;16.29
17139.0;1;826.0;20.65
17140.0;3;966.33;19.33
17180.0;10;867.5;13.97
17200.0;32;720.78;16.44
17300.0;56;606.02;15.62
17400.0;2;410.0;23.0
